pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_bmassprov,pl_radj,pl_ttvflag,pl_kepflag,pl_k2flag,ra,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,pl_density,pl_name,planet_type,discovery_mission,discoveries_by_mission,planets_in_system,pl_orbper_norm,pl_orbsmax_norm,pl_orbeccen_norm,pl_bmassj_norm,pl_radj_norm,pl_density_norm,st_dist_norm,st_optmag_norm,st_teff_norm,st_mass_norm,st_rad_norm,pl_discmethod_cod,pl_letter_cod,pl_bmassprov_cod,st_optband_cod
55 Cnc,b,Radial Velocity,5,14.65152,0.115227,0.1065,1.0150000000000001,Mass,0.203,0,0,0,133.149216,28.330818,12.53,7.81025,V (Johnson),5196.0,0.91,0.94,,55 Cnc b,,Otra misión/Terrestre,914,5,0.14546008564293136,0.4419726247987116,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.007055047538303155,0.0,0.3871087314662274,0.4375000000000001,0.45138888888888884,7,0,0,1
55 Cnc,c,Radial Velocity,5,44.4175,0.21918750000000004,0.1065,1.0150000000000001,Mass,0.203,0,0,0,133.149216,28.330818,12.53,7.81025,V (Johnson),5196.0,0.91,0.94,,55 Cnc c,,Otra misión/Terrestre,914,5,0.44281723107994836,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.007055047538303155,0.0,0.3871087314662274,0.4375000000000001,0.45138888888888884,7,1,0,1
55 Cnc,d,Radial Velocity,5,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Mass,0.203,0,0,0,133.149216,28.330818,12.53,7.81025,V (Johnson),5196.0,0.91,0.94,,55 Cnc d,,Otra misión/Terrestre,914,5,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.007055047538303155,0.0,0.3871087314662274,0.4375000000000001,0.45138888888888884,7,2,0,1
55 Cnc,e,Radial Velocity,5,0.736539,0.0328875,0.1065,1.0150000000000001,Mass,0.17,0,0,0,133.149216,28.330818,12.53,7.81025,V (Johnson),5196.0,0.91,0.94,5.174028088744148,55 Cnc e,Rocoso/Compacto,Otra misión/Terrestre,914,5,0.006451760401486962,0.0,0.0,0.0,0.36572890025575455,0.003737814857836368,0.007055047538303155,0.0,0.3871087314662274,0.4375000000000001,0.45138888888888884,7,3,0,1
55 Cnc,f,Radial Velocity,5,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Mass,0.203,0,0,0,133.149216,28.330818,12.53,7.81025,V (Johnson),5196.0,0.91,0.94,,55 Cnc f,,Otra misión/Terrestre,914,5,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.007055047538303155,0.0,0.3871087314662274,0.4375000000000001,0.45138888888888884,7,4,0,1
6 Lyn,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,97.696281,58.162632,56.95,13.971,Kepler-band,4978.0,1.4500000000000002,1.73,,6 Lyn b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.04068007024768364,0.5348801875325576,0.3152800658978583,1.0,1.0,7,0,2,0
61 Vir,b,Radial Velocity,3,4.215,0.050201,0.1065,1.0150000000000001,Msini,0.203,0,0,0,199.601318,-18.311195,8.52,7.81025,V (Johnson),5577.0,0.94,0.96,,61 Vir b,,Otra misión/Terrestre,914,3,0.041201002102045504,0.09293344068706386,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.004019560346393751,0.0,0.5126441515650741,0.46875,0.4652777777777778,7,0,2,1
61 Vir,c,Radial Velocity,3,38.021,0.2175,0.1065,1.0150000000000001,Msini,0.203,0,0,0,199.601318,-18.311195,8.52,7.81025,V (Johnson),5577.0,0.94,0.96,,61 Vir c,,Otra misión/Terrestre,914,3,0.3789172694194259,0.9909420289855071,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.004019560346393751,0.0,0.5126441515650741,0.46875,0.4652777777777778,7,1,2,1
61 Vir,d,Radial Velocity,3,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,199.601318,-18.311195,8.52,7.81025,V (Johnson),5577.0,0.94,0.96,,61 Vir d,,Otra misión/Terrestre,914,3,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.004019560346393751,0.0,0.5126441515650741,0.46875,0.4652777777777778,7,2,2,1
7 CMa,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,99.17099,-19.255878,19.84,7.81025,V (Johnson),4792.0,1.4500000000000002,1.73,,7 CMa b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.012588566583903591,0.0,0.253995057660626,1.0,1.0,7,0,2,1
